completion,prompt
 your used in your code na, vectors can't be divided
 yaa same, i used it in assignment 1 for solving matrix in form ax=b
 i am asking what is function of  np.linalg.solve, i didn't get it bro what r u saying
 but where you wrote equation, i think it solves linear equations
 , x contains variables
 ohh ok, a multiply with x and compare with b we get linear equations na
 ok, yup
 bro have you learnt double integration, https://problemsolvingwithpython.com/05-numpy-and-arrays/05.08-systems-of-linear-equations/
 ok bro, no bro
 no bro, ??
 no, gvv
 yes, anthropology grp project na
 yes bro🥲🥲, 🤕🤕
 getting but not so much, ??
 that can not be taken away from you, did u search the meaning of the word
 hmm, of what it is
 ok bro, read some lines of your sources bro
 yes, yesterday class?
 ohk bro, i didn't listen the class bro
 mail id??, personal one
 himanshubina2003@gmail.com, you may get it
 no problem, is there any way??
 got it bro🥲🥲, ok then👍👍
 pacemaker, what's the name
 yes  yes, a video shown also ig
 yaa mistakenly😅😅, for bio
 bro whom won president seat??, sir said your name
 kk, you can check mail bro
 yes, i think sir is trying to get in presenter view
 hmm, in gmeet
 yes, bro is there  a class?
 https://meet.google.com/noc-yche-xzs?pli=1&authuser=1, do you have link?
 , bro
 delete option is greyed out, maybe delete option comes
 i just hide it by moving it to corner🥲🥲, ohh ask in grp
 means, make it as points bro
 bro have you seen my slides, no need
 if you want you can , should i read?
 np bro, bro iam sorry by mistake
 yaa i planned, ?
 bro  can i ask you a thing, ok
 that why you wont use edge??, ya
 yaa, microsoft edge
 ohh thats why, can we have bookmarks in edge?
 hmm, 
 oh, i never used edge in phone
 no ig, bro do we have any exam tommorrow
 wow sidhant ranka is president, 
 you haven't attended meet at 11 pm, i thought srijith won
 i think 15 days before, which meet😭
 he and his friends tell about college, ohh i dont know
 5, to clg
 you??, ok
 ohk, i will come by evng
 what reference sir talking about now, https://docs.google.com/spreadsheets/d/13r9rheto70_cefnh8e5sybj5oyaz0wobl_ly1an8p2u/edit#gid=2145528018
 ohh ok, i dont know bro he said multiple integration
 means any specific document, special documents
 like ragging certificate etc.etc., 10th also
 ok bro, if they provide information
 hmm, if nothing is said let's ask our cr
 to join the video meeting, pls
 it doesnt ask for time limit??, for gmeet
 what about the previous  meet created by ananya??, and post it in the grp
 ohh ok, she asked me to create
 ohh ok bro, iam sorry
 ohk bro, yet
 bro i didn't get any such message🤔🤔, what to do
 my data exhausted so i can't 😅😅, iam on it bro
 bro questions of tomorrow quiz is still objective or it can be subjective??, np
 not fair bro😢😢, doomed
 bro has sir teaches nabla operator??, iam battling against time
 ohk, i don't think sir announced it
 ohk, not started
 hmm, now
 bro, 
 , https://classroom.google.com/c/ndg0mdm1mje0mdg3
 okk, 4 i think
 idk, what is the answer?
 this is correct, i dont know i just did something at the end
 i am telling you that you r ryt, did they give key bro?
 ok bro, projection on yz plane
 yaa there will be difference of  - sign, does it matter
 hmm, didn't care about sign
 ohk bro, i didn't get it bro
 ohh, can you hear me sir said
 sharing screen??, now not speaking
 ok bro, no
 hm, now sharing
 ok bro, i think so
 ohh, items
 yes, did you see extra list
 ohk bro, then in it is in main list
 then no need to bring??, ha i think so
 yaa but there is alternative of it, but bournvita is not everyday ig
 😁😁yes it is, no i thought you would bring bournvita because it's your favourite
 , ok😅
 ohk😅😅, exam was disastrous for me
 bro have you passed 12 from cbse board??, 
 , if so please share the questions bro
 bro do you know the answer of last question??, you deleted this message
 bro i am not in the classroom yet, will the classmates able to see my answers
 🥲🥲, ok
 yaa i mailed today, did you mail madam
 which answers you are writing, no bro
 👌👌, 
 me too, hindi evng 8 ig 
 i watched mahabharat 2-3 times😅😅, my father is watching mahabharat show in hotstar these days
 bro medical certificate we have to made new or the old one which we submitted in november 21??, these days i join my father sometimes
 ok bro, i dont know bro
 ohh ok, i don't know if he meaned it
 ig 1, apart from test
 probability, which class
 it was at 12 yesterday, ?
 , 🧐
 no bro🥲🥲, do you know key
 which test, bro won't they grade my paper??
 they will grade ig, yes
 yes, ??
 consider my paper, 
 yes, ok
 don't worry bro, it's terrible😭😭
 hmm😨😨, really??
 ohh you are asking 2nd question answer😅😅, last question what u got bro
 yaa got same, so what u got
 root 73 na, root or 3
 ohh😅😅, beacuse of that one only i submitted late
 its very tedious bro🥲🥲, yaa
 , iam poor in maths solving
 no nothing, if you want to add add by today
 and bro do we all have to submit or only one person??, she asked me to add some topic yesterday
 how many slides reached till now, ask her once
 ohh fine, i think 32 i guess
 oh yes, at 11 ig
 bro have you completed the assignment of fabrication??, ya😇
 hn, next week na
 no no, is it this week?
 btw what is going on bro, please join
 ok, yaa
 bro have you filled the form given by academic office??, we are seeing its okay or not
 form sent by email, which form
 yaa it will submitted offline, 
 means, which requires
 see form attached with this mail, which form requires signing from parents
 bro how is the cilmate of hyderabad??, ok bro
 generally, now or generally
 okk bro no problem, my parents beleive theee
 do we have class??, s
 i am asking about the ai1100 class, no new topic will be taught
 ok bro, i don't know
 i can't find anything, did you check in teams
 , ha ig
 hmm ok, but i think we are not there in that class since we don't have viva
 ok bro, i didn't get mail bro recently
 ig 3 4 5 are only buffer days, bro when does class starts
 yes bro, 😇😇
 no wi fi in hostels, is it needed
 but wait i have to confirm with some students, 😨😨
 there is signal bro but i am asking about wi fi, there's no signal??
 no, are the wifi signals reaching hostel
 nice bro, should i buy router for our room?
 i will inform you later after consulting, iam asking aenuor
 no, do your laptop have port
 yes bro this is fine, is this?
 yaa for some days we have to manage then maybe i buy router, then i can on hotspot
 hmm, if this works without any problem then ok
 🙂🙂hmm bro thanks for your concern, 6th
 yes at 9, which mattress did you take bro cotton coir foam?
 yes, in the room??
 kk, iam going to hostel office
 not yet, did you have lunch
 bro i am going for lunch, will reach soon
 will it take time??, at the hostel pffice
 ok i also coming, did u lock the room
 yes, ?
 mess, where are u??
 ohk bro, when you come to the room lock the door
 ok, when u come knock the door
 romm no 49, btw where r u
 bro i came to hyderabad for some medical reasons and will come tomorrow, bro where are you
 so please take care of my stuffs, ok
 hmm bro, take care bro
 ig at night, bro when r u coming
 hmm bro, take care bro
 kk, all working
 👍👍, 230
 i will give you on coming to campus, are u fine
 yes bro he called me, bro tumhare liye donal aya tha
 no bro, bro did u take a chair for room 56
 there was extra chair already in our room, i thought we have 3 chairs na
 ohh, when u will come bro
 yes bro, are u coming bro tonight
 , i will come to the room in 20 min
 in 1-2 hour, bro when you will come
 , ok
 where are you, book
 bro does today's class recorded or not??, tumra keys mere pass hei he
 half an hour, when r you coming
 no nothing, ?
 https://colab.research.google.com/notebooks/editor_details.ipynb#scrollto=f58tfnvaxaee, oo
 when will you come bro??, kaha??
 ryt side, kaha???
 who said, gvv ayegaa aaj ka class mei
 kya dekha, meine dekha
 https://github.com/himanshukumargupta11012/assignments_ai1103/tree/main, gvv ko
 bro for which which courses you enrolled in sem 3, 
 nss?, i think so
 ok, i don't know correctly
 what happened, not good bro
 ohh😕😕, last time the child passed away after living 4 months
 yaa it is, it's completely sad
 when this happened??, but still
 okk bro then spend time with family, yesterday night
 bro before buying shorts will show me once, ha
 bro is there different color??, 200
 yaa, ?
 price??, mei bill counter mei hu
 yaa this is fine, 199
 kk bro, you wish colour
 , 
 , 
 , 
 ok, keep it with you
 i am outside, did u see it
 i will se in 5 mins, kk
 yaa bro it's here only, kk
 yes bro, are you there?
 i am also seeing the same, solutions iam not understanding
 idk bro i have to ask pradeep, maybe i will come to iith
 kk, ask him and tell me as soon as possible
 no, mera attendance likh dena
 what was the command to open 2 files in nvim, 👍
 , then esc + : + tabe
 why you need murphy 12, where is murphy 2012
 revision, and whats going on in foml class
 waah, 😎
 jitna charan ka hua🥲🥲, ?
 , uska bhejdo mereko
 haa, 
 what you will do🧐🧐, enjoy kiya dandiya night ko
 , bathukamma kiya tumne?
 no , in dj night
 you don't know that day🧐🧐, and today i got to know she was rani k raman
 who told you today, seriously i didn't know
 oh, i saw ranveer photo with bathukamma
 😁😁yaa she is, she was beautiful 🥰bro
 men will be men🥲🥲, i thought she was overly hyped
 nothing bro, kya kya chal raha campus mei
 haa jaenge dussehra ko, gumne jao bahar
 idk, nthg
 then you should also stay man, ab thak agar udh mein nahi dikhayi diya tho vo ldh hai
 nothing, coding?
 ありがとう, https://github.com/frozenca/ml-murphy
 https://drive.google.com/drive/folders/1fnc9ysme1jcsrgwtun_f_nhbpcsxrmqh, 😃
 cd $prefix/../home, 
 yes, did you write my attendance
 np bro, i thought the key was with you
 yaa around half an hour, ?
 how🙃🙃, we are enjoying ourselves 😊😊
 😂😂, and your bed is common
 ok, 🙏🙏
 bro i have your metric spaces notes, https://github.com/dynomonster/ai2000-foml/blob/main/set-4/4.1.ipynb
 bruh we are going to lab, bro i just woke up write my notes na
 there is file named nbadb.db, https://www.cs.huji.ac.il/~shais/understandingmachinelearning/mlbooksol.pdf
 bro will you go for breakfast?, 
 kk, suraj said he will bring
 text or call me if any of 2 will be done, 
 because mauktika and pradeep came here for 4 copies, what??
 for whom you are taking tell names, if not 4
 2 more, blessy
 bro it's already started, don't take for girls
 i took full for saanvi, boys+ 1 gorl
 it is fine ryt, you are a god
 , kk
 bro send the zip file of lokesh code, https://atmos.washington.edu/~dennis/matrixcalculus.pdf
 in your bag, where's my sweater
 idk bro, bottle?
 whatsapp bro, heyy
 fine bro🥲, when r u cmg
 u, dj night🔥🔥
 😁😁but i am alone 🥲🥲, maybe on 2
 😅😅, did u wish?
 😁😁🥳🥳🥳, single forever
 ohh then i will 😅😅, broo she wished u on ur brd🙄🙄🙄
 😆😆kinda same for me, wht abt u
 you should do before only bro, what did i do wrong
 you should do her personally 😁😁, or she won't talk to me bro
 is it available online?, scalp shampoo
 sure😁, iam going to buy one for myself
 yes, you called?
 me, in which platform
 not fixed, charan?
 2, how many hrs?
 👍, maybe from next time
 come fast, we will also come
 the thing is people who knows donal we don't know them😅, yes
 at 10🤔, cake?
 bruh r u sleeping?, haa
 what ok🙄, ok
 pay 105 to suraj for cake, only 8
 start nhi kiya hu, kaha tak hua assignment
 what you were saying, 
 both, english songs
 bruh why 75, 
 🥲😅 just for fun bro, 60+ bola na
 , 
 , 
 fuck, not started
 then when you will come for dinner, duno
 yes, bro swatch bharat you will come?
 ok, heyy bro can you see my paper
 https://goodcalculators.com/student-t-value-calculator/, i came to class
 hlo bro, heyy bro
 no, busy?
 i didn't do anything like that, just a small doubt
 ok i will see, see the photo once
 like everything is not coming or only address and message, is writing /gifts for action crt?
 yaa it seems correct, the data was not entering in the database
 ok, can you tell me a bit fast
 when is the deadline, deadline's approaching
 where is this fil, so he can do the rest part
 where is the code for saving to mongodb, feedbackmejs
 shivaserver.js, where is this?
 sorry, is it feedback.ejs?
 yes, is the rest proper
 also i don't think he is using mongodb anywhere. so please confirm, thanks bro
 👍, us
 bro actually i am outside., please check this🙏🙏
 if it is urgent once contact suraj, when u r free
 bro he used user as a schema but did defined it anywhere, just check it that time
 yes any pen drive or memory card, usb necessary for increasing ubuntu space?
 8 gb is fine, i want to move 100gb from windows
 https://youtu.be/vlvxptj20ha, for size increase of ubuntu
 did you got the interface at 4:33, at time stamp 4:38
 it's stopping at this step?, ha
 i don't have much idea but try to do again, ha
 https://forums.linuxmint.com/viewtopic.php?t=328045, this is second time
